"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",16-08-20,"Ath Bilbao","Barcelona",1,0,"H"
"2",17-08-20,"Celta","Real Madrid",1,3,"A"
"3",17-08-20,"Valencia","Sociedad",1,1,"D"
"4",17-08-20,"Mallorca","Eibar",2,1,"H"
"5",17-08-20,"Leganes","Osasuna",0,1,"A"
"6",17-08-20,"Villarreal","Granada",4,4,"D"
"7",18-08-20,"Alaves","Levante",1,0,"H"
"8",18-08-20,"Espanol","Sevilla",0,2,"A"
"9",18-08-20,"Betis","Valladolid",1,2,"A"
"10",18-08-20,"Ath Madrid","Getafe",1,0,"H"
"11",23-08-20,"Granada","Sevilla",0,1,"A"
"12",23-08-20,"Levante","Villarreal",2,1,"H"
"13",24-08-20,"Osasuna","Eibar",0,0,"D"
"14",24-08-20,"Real Madrid","Valladolid",1,1,"D"
"15",24-08-20,"Celta","Valencia",1,0,"H"
"16",24-08-20,"Getafe","Ath Bilbao",1,1,"D"
"17",25-08-20,"Alaves","Espanol",0,0,"D"
"18",25-08-20,"Mallorca","Sociedad",0,1,"A"
"19",25-08-20,"Leganes","Ath Madrid",0,1,"A"
"20",25-08-20,"Barcelona","Betis",5,2,"H"
"21",30-08-20,"Sevilla","Celta",1,1,"D"
"22",30-08-20,"Ath Bilbao","Sociedad",2,0,"H"
"23",31-08-20,"Osasuna","Barcelona",2,2,"D"
"24",31-08-20,"Getafe","Alaves",1,1,"D"
"25",31-08-20,"Levante","Valladolid",2,0,"H"
"26",31-08-20,"Betis","Leganes",2,1,"H"
"27",1-09-20,"Valencia","Mallorca",2,0,"H"
"28",1-09-20,"Ath Madrid","Eibar",3,2,"H"
"29",1-09-20,"Espanol","Granada",0,3,"A"
"30",1-09-20,"Villarreal","Real Madrid",2,2,"D"
"31",13-09-20,"Mallorca","Ath Bilbao",0,0,"D"
"32",14-09-20,"Real Madrid","Levante",3,2,"H"
"33",14-09-20,"Leganes","Villarreal",0,3,"A"
"34",14-09-20,"Sociedad","Ath Madrid",2,0,"H"
"35",14-09-20,"Barcelona","Valencia",5,2,"H"
"36",15-09-20,"Eibar","Espanol",1,2,"A"
"37",15-09-20,"Alaves","Sevilla",0,1,"A"
"38",15-09-20,"Celta","Granada",0,2,"A"
"39",15-09-20,"Valladolid","Osasuna",1,1,"D"
"40",15-09-20,"Betis","Getafe",1,1,"D"
"41",20-09-20,"Osasuna","Betis",0,0,"D"
"42",21-09-20,"Villarreal","Valladolid",2,0,"H"
"43",21-09-20,"Levante","Eibar",0,0,"D"
"44",21-09-20,"Ath Madrid","Celta",0,0,"D"
"45",21-09-20,"Granada","Barcelona",2,0,"H"
"46",22-09-20,"Getafe","Mallorca",4,2,"H"
"47",22-09-20,"Espanol","Sociedad",1,3,"A"
"48",22-09-20,"Valencia","Leganes",1,1,"D"
"49",22-09-20,"Ath Bilbao","Alaves",2,0,"H"
"50",22-09-20,"Sevilla","Real Madrid",0,1,"A"
"51",24-09-20,"Valladolid","Granada",1,1,"D"
"52",24-09-20,"Betis","Levante",3,1,"H"
"53",24-09-20,"Barcelona","Villarreal",2,1,"H"
"54",25-09-20,"Leganes","Ath Bilbao",1,1,"D"
"55",25-09-20,"Mallorca","Ath Madrid",0,2,"A"
"56",25-09-20,"Valencia","Getafe",3,3,"D"
"57",25-09-20,"Real Madrid","Osasuna",2,0,"H"
"58",26-09-20,"Eibar","Sevilla",3,2,"H"
"59",26-09-20,"Celta","Espanol",1,1,"D"
"60",26-09-20,"Sociedad","Alaves",3,0,"H"
"61",27-09-20,"Villarreal","Betis",5,1,"H"
