"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",0018-08-17,"Leganes","Alaves",1,0,"H"
"2",0018-08-17,"Valencia","Las Palmas",1,0,"H"
"3",0019-08-17,"Celta","Sociedad",2,3,"A"
"4",0019-08-17,"Girona","Ath Madrid",2,2,"D"
"5",0019-08-17,"Sevilla","Espanol",1,1,"D"
"6",0020-08-17,"Ath Bilbao","Getafe",0,0,"D"
"7",0020-08-17,"Barcelona","Betis",2,0,"H"
"8",0020-08-17,"La Coruna","Real Madrid",0,3,"A"
"9",0021-08-17,"Levante","Villarreal",1,0,"H"
"10",0021-08-17,"Malaga","Eibar",0,1,"A"
"11",0025-08-17,"Betis","Celta",2,1,"H"
"12",0025-08-17,"Sociedad","Villarreal",3,0,"H"
"13",0026-08-17,"Alaves","Barcelona",0,2,"A"
"14",0026-08-17,"Girona","Malaga",1,0,"H"
"15",0026-08-17,"Las Palmas","Ath Madrid",1,5,"A"
"16",0026-08-17,"Levante","La Coruna",2,2,"D"
"17",0027-08-17,"Eibar","Ath Bilbao",0,1,"A"
"18",0027-08-17,"Espanol","Leganes",0,1,"A"
"19",0027-08-17,"Getafe","Sevilla",0,1,"A"
"20",0027-08-17,"Real Madrid","Valencia",2,2,"D"
"21",0008-09-17,"Leganes","Getafe",1,2,"A"
"22",0009-09-17,"Barcelona","Espanol",5,0,"H"
"23",0009-09-17,"Real Madrid","Levante",1,1,"D"
"24",0009-09-17,"Sevilla","Eibar",3,0,"H"
"25",0009-09-17,"Valencia","Ath Madrid",0,0,"D"
"26",0010-09-17,"Ath Bilbao","Girona",2,0,"H"
"27",0010-09-17,"Celta","Alaves",1,0,"H"
"28",0010-09-17,"La Coruna","Sociedad",2,4,"A"
"29",0010-09-17,"Villarreal","Betis",3,1,"H"
"30",0011-09-17,"Malaga","Las Palmas",1,3,"A"
"31",0015-09-17,"Eibar","Leganes",1,0,"H"
"32",0016-09-17,"Ath Madrid","Malaga",1,0,"H"
"33",0016-09-17,"Betis","La Coruna",2,1,"H"
"34",0016-09-17,"Getafe","Barcelona",1,2,"A"
"35",0016-09-17,"Levante","Valencia",1,1,"D"
"36",0017-09-17,"Alaves","Villarreal",0,3,"A"
"37",0017-09-17,"Girona","Sevilla",0,1,"A"
"38",0017-09-17,"Las Palmas","Ath Bilbao",1,0,"H"
"39",0017-09-17,"Sociedad","Real Madrid",1,3,"A"
"40",0018-09-17,"Espanol","Celta",2,1,"H"
"41",0019-09-17,"Barcelona","Eibar",6,1,"H"
"42",0019-09-17,"Valencia","Malaga",5,0,"H"
"43",0020-09-17,"Ath Bilbao","Ath Madrid",1,2,"A"
"44",0020-09-17,"La Coruna","Alaves",1,0,"H"
"45",0020-09-17,"Leganes","Girona",0,0,"D"
"46",0020-09-17,"Real Madrid","Betis",0,1,"A"
"47",0020-09-17,"Sevilla","Las Palmas",1,0,"H"
"48",0021-09-17,"Celta","Getafe",1,1,"D"
"49",0021-09-17,"Levante","Sociedad",3,0,"H"
"50",0021-09-17,"Villarreal","Espanol",0,0,"D"
"51",0023-09-17,"Alaves","Real Madrid",1,2,"A"
"52",0023-09-17,"Ath Madrid","Sevilla",2,0,"H"
"53",0023-09-17,"Girona","Barcelona",0,3,"A"
"54",0023-09-17,"Malaga","Ath Bilbao",3,3,"D"
"55",0024-09-17,"Eibar","Celta",0,4,"A"
"56",0024-09-17,"Espanol","La Coruna",4,1,"H"
"57",0024-09-17,"Getafe","Villarreal",4,0,"H"
"58",0024-09-17,"Las Palmas","Leganes",0,2,"A"
"59",0024-09-17,"Sociedad","Valencia",2,3,"A"
"60",0025-09-17,"Betis","Levante",4,0,"H"
"61",0029-09-17,"Celta","Girona",3,3,"D"
"62",0030-09-17,"La Coruna","Getafe",2,1,"H"
"63",0030-09-17,"Leganes","Ath Madrid",0,0,"D"
"64",0030-09-17,"Levante","Alaves",0,2,"A"
"65",0030-09-17,"Sevilla","Malaga",2,0,"H"
"66",0001-10-17,"Barcelona","Las Palmas",3,0,"H"
"67",0001-10-17,"Real Madrid","Espanol",2,0,"H"
"68",0001-10-17,"Sociedad","Betis",4,4,"D"
"69",0001-10-17,"Valencia","Ath Bilbao",3,2,"H"
"70",0001-10-17,"Villarreal","Eibar",3,0,"H"
"71",0013-10-17,"Espanol","Levante",0,0,"D"
"72",0014-10-17,"Alaves","Sociedad",0,2,"A"
"73",0014-10-17,"Ath Bilbao","Sevilla",1,0,"H"
"74",0014-10-17,"Ath Madrid","Barcelona",1,1,"D"
"75",0014-10-17,"Getafe","Real Madrid",1,2,"A"
"76",0015-10-17,"Betis","Valencia",3,6,"A"
"77",0015-10-17,"Eibar","La Coruna",0,0,"D"
"78",0015-10-17,"Girona","Villarreal",1,2,"A"
"79",0015-10-17,"Malaga","Leganes",0,2,"A"
"80",0016-10-17,"Las Palmas","Celta",2,5,"A"
"81",0021-10-17,"Barcelona","Malaga",2,0,"H"
"82",0021-10-17,"Betis","Alaves",2,0,"H"
"83",0021-10-17,"Levante","Getafe",1,1,"D"
"84",0021-10-17,"Valencia","Sevilla",4,0,"H"
"85",0022-10-17,"Celta","Ath Madrid",0,1,"A"
"86",0022-10-17,"Leganes","Ath Bilbao",1,0,"H"
"87",0022-10-17,"Real Madrid","Eibar",3,0,"H"
"88",0022-10-17,"Villarreal","Las Palmas",4,0,"H"
"89",0023-10-17,"La Coruna","Girona",1,2,"A"
"90",0023-10-17,"Sociedad","Espanol",1,1,"D"
"91",0028-10-17,"Alaves","Valencia",1,2,"A"
"92",0028-10-17,"Ath Bilbao","Barcelona",0,2,"A"
"93",0028-10-17,"Ath Madrid","Villarreal",1,1,"D"
"94",0028-10-17,"Sevilla","Leganes",2,1,"H"
"95",0029-10-17,"Eibar","Levante",2,2,"D"
"96",0029-10-17,"Getafe","Sociedad",2,1,"H"
"97",0029-10-17,"Girona","Real Madrid",2,1,"H"
"98",0029-10-17,"Malaga","Celta",2,1,"H"
"99",0030-10-17,"Espanol","Betis",1,0,"H"
"100",0030-10-17,"Las Palmas","La Coruna",1,3,"A"
"101",0003-11-17,"Betis","Getafe",2,2,"D"
"102",0004-11-17,"Alaves","Espanol",1,0,"H"
"103",0004-11-17,"Barcelona","Sevilla",2,1,"H"
"104",0004-11-17,"La Coruna","Ath Madrid",0,1,"A"
"105",0004-11-17,"Valencia","Leganes",3,0,"H"
"106",0005-11-17,"Celta","Ath Bilbao",3,1,"H"
"107",0005-11-17,"Levante","Girona",1,2,"A"
"108",0005-11-17,"Real Madrid","Las Palmas",3,0,"H"
"109",0005-11-17,"Sociedad","Eibar",3,1,"H"
"110",0005-11-17,"Villarreal","Malaga",2,0,"H"
"111",0017-11-17,"Girona","Sociedad",1,1,"D"
"112",0018-11-17,"Ath Madrid","Real Madrid",0,0,"D"
"113",0018-11-17,"Getafe","Alaves",4,1,"H"
"114",0018-11-17,"Leganes","Barcelona",0,3,"A"
"115",0018-11-17,"Sevilla","Celta",2,1,"H"
"116",0019-11-17,"Ath Bilbao","Villarreal",1,1,"D"
"117",0019-11-17,"Espanol","Valencia",0,2,"A"
"118",0019-11-17,"Las Palmas","Levante",0,2,"A"
"119",0019-11-17,"Malaga","La Coruna",3,2,"H"
"120",0020-11-17,"Eibar","Betis",5,0,"H"
"121",0024-11-17,"Celta","Leganes",1,0,"H"
"122",0025-11-17,"Alaves","Eibar",1,2,"A"
"123",0025-11-17,"Betis","Girona",2,2,"D"
"124",0025-11-17,"Levante","Ath Madrid",0,5,"A"
"125",0025-11-17,"Real Madrid","Malaga",3,2,"H"
"126",0026-11-17,"La Coruna","Ath Bilbao",2,2,"D"
"127",0026-11-17,"Sociedad","Las Palmas",2,2,"D"
"128",0026-11-17,"Valencia","Barcelona",1,1,"D"
"129",0026-11-17,"Villarreal","Sevilla",2,3,"A"
"130",0027-11-17,"Espanol","Getafe",1,0,"H"
"131",0001-12-17,"Malaga","Levante",0,0,"D"
"132",0002-12-17,"Ath Bilbao","Real Madrid",0,0,"D"
"133",0002-12-17,"Ath Madrid","Sociedad",2,1,"H"
"134",0002-12-17,"Barcelona","Celta",2,2,"D"
"135",0002-12-17,"Sevilla","La Coruna",2,0,"H"
