"date","home.team","home.score","away.team","away.score"
"0018-08-17","Leganes",1,"Alaves",0
"0018-08-17","Valencia",1,"Las Palmas",0
"0019-08-17","Celta",2,"Sociedad",3
"0019-08-17","Girona",2,"Ath Madrid",2
"0019-08-17","Sevilla",1,"Espanol",1
"0020-08-17","Ath Bilbao",0,"Getafe",0
"0020-08-17","Barcelona",2,"Betis",0
"0020-08-17","La Coruna",0,"Real Madrid",3
"0021-08-17","Levante",1,"Villarreal",0
"0021-08-17","Malaga",0,"Eibar",1
"0025-08-17","Betis",2,"Celta",1
"0025-08-17","Sociedad",3,"Villarreal",0
"0026-08-17","Alaves",0,"Barcelona",2
"0026-08-17","Girona",1,"Malaga",0
"0026-08-17","Las Palmas",1,"Ath Madrid",5
"0026-08-17","Levante",2,"La Coruna",2
"0027-08-17","Eibar",0,"Ath Bilbao",1
"0027-08-17","Espanol",0,"Leganes",1
"0027-08-17","Getafe",0,"Sevilla",1
"0027-08-17","Real Madrid",2,"Valencia",2
"0008-09-17","Leganes",1,"Getafe",2
"0009-09-17","Barcelona",5,"Espanol",0
"0009-09-17","Real Madrid",1,"Levante",1
"0009-09-17","Sevilla",3,"Eibar",0
"0009-09-17","Valencia",0,"Ath Madrid",0
"0010-09-17","Ath Bilbao",2,"Girona",0
"0010-09-17","Celta",1,"Alaves",0
"0010-09-17","La Coruna",2,"Sociedad",4
"0010-09-17","Villarreal",3,"Betis",1
"0011-09-17","Malaga",1,"Las Palmas",3
"0015-09-17","Eibar",1,"Leganes",0
"0016-09-17","Ath Madrid",1,"Malaga",0
"0016-09-17","Betis",2,"La Coruna",1
"0016-09-17","Getafe",1,"Barcelona",2
"0016-09-17","Levante",1,"Valencia",1
"0017-09-17","Alaves",0,"Villarreal",3
"0017-09-17","Girona",0,"Sevilla",1
"0017-09-17","Las Palmas",1,"Ath Bilbao",0
"0017-09-17","Sociedad",1,"Real Madrid",3
"0018-09-17","Espanol",2,"Celta",1
"0019-09-17","Barcelona",6,"Eibar",1
"0019-09-17","Valencia",5,"Malaga",0
"0020-09-17","Ath Bilbao",1,"Ath Madrid",2
"0020-09-17","La Coruna",1,"Alaves",0
"0020-09-17","Leganes",0,"Girona",0
"0020-09-17","Real Madrid",0,"Betis",1
"0020-09-17","Sevilla",1,"Las Palmas",0
"0021-09-17","Celta",1,"Getafe",1
"0021-09-17","Levante",3,"Sociedad",0
"0021-09-17","Villarreal",0,"Espanol",0
"0023-09-17","Alaves",1,"Real Madrid",2
"0023-09-17","Ath Madrid",2,"Sevilla",0
"0023-09-17","Girona",0,"Barcelona",3
"0023-09-17","Malaga",3,"Ath Bilbao",3
"0024-09-17","Eibar",0,"Celta",4
"0024-09-17","Espanol",4,"La Coruna",1
"0024-09-17","Getafe",4,"Villarreal",0
"0024-09-17","Las Palmas",0,"Leganes",2
"0024-09-17","Sociedad",2,"Valencia",3
"0025-09-17","Betis",4,"Levante",0
"0029-09-17","Celta",3,"Girona",3
"0030-09-17","La Coruna",2,"Getafe",1
"0030-09-17","Leganes",0,"Ath Madrid",0
"0030-09-17","Levante",0,"Alaves",2
"0030-09-17","Sevilla",2,"Malaga",0
"0001-10-17","Barcelona",3,"Las Palmas",0
"0001-10-17","Real Madrid",2,"Espanol",0
"0001-10-17","Sociedad",4,"Betis",4
"0001-10-17","Valencia",3,"Ath Bilbao",2
"0001-10-17","Villarreal",3,"Eibar",0
"0013-10-17","Espanol",0,"Levante",0
"0014-10-17","Alaves",0,"Sociedad",2
"0014-10-17","Ath Bilbao",1,"Sevilla",0
"0014-10-17","Ath Madrid",1,"Barcelona",1
"0014-10-17","Getafe",1,"Real Madrid",2
"0015-10-17","Betis",3,"Valencia",6
"0015-10-17","Eibar",0,"La Coruna",0
"0015-10-17","Girona",1,"Villarreal",2
"0015-10-17","Malaga",0,"Leganes",2
"0016-10-17","Las Palmas",2,"Celta",5
"0021-10-17","Barcelona",2,"Malaga",0
"0021-10-17","Betis",2,"Alaves",0
"0021-10-17","Levante",1,"Getafe",1
"0021-10-17","Valencia",4,"Sevilla",0
"0022-10-17","Celta",0,"Ath Madrid",1
"0022-10-17","Leganes",1,"Ath Bilbao",0
"0022-10-17","Real Madrid",3,"Eibar",0
"0022-10-17","Villarreal",4,"Las Palmas",0
"0023-10-17","La Coruna",1,"Girona",2
"0023-10-17","Sociedad",1,"Espanol",1
"0028-10-17","Alaves",1,"Valencia",2
"0028-10-17","Ath Bilbao",0,"Barcelona",2
"0028-10-17","Ath Madrid",1,"Villarreal",1
"0028-10-17","Sevilla",2,"Leganes",1
"0029-10-17","Eibar",2,"Levante",2
"0029-10-17","Getafe",2,"Sociedad",1
"0029-10-17","Girona",2,"Real Madrid",1
"0029-10-17","Malaga",2,"Celta",1
"0030-10-17","Espanol",1,"Betis",0
"0030-10-17","Las Palmas",1,"La Coruna",3
"0003-11-17","Betis",2,"Getafe",2
"0004-11-17","Alaves",1,"Espanol",0
"0004-11-17","Barcelona",2,"Sevilla",1
"0004-11-17","La Coruna",0,"Ath Madrid",1
"0004-11-17","Valencia",3,"Leganes",0
"0005-11-17","Celta",3,"Ath Bilbao",1
"0005-11-17","Levante",1,"Girona",2
"0005-11-17","Real Madrid",3,"Las Palmas",0
"0005-11-17","Sociedad",3,"Eibar",1
"0005-11-17","Villarreal",2,"Malaga",0
"0017-11-17","Girona",1,"Sociedad",1
"0018-11-17","Ath Madrid",0,"Real Madrid",0
"0018-11-17","Getafe",4,"Alaves",1
"0018-11-17","Leganes",0,"Barcelona",3
"0018-11-17","Sevilla",2,"Celta",1
"0019-11-17","Ath Bilbao",1,"Villarreal",1
"0019-11-17","Espanol",0,"Valencia",2
"0019-11-17","Las Palmas",0,"Levante",2
"0019-11-17","Malaga",3,"La Coruna",2
"0020-11-17","Eibar",5,"Betis",0
"0024-11-17","Celta",1,"Leganes",0
"0025-11-17","Alaves",1,"Eibar",2
"0025-11-17","Betis",2,"Girona",2
"0025-11-17","Levante",0,"Ath Madrid",5
"0025-11-17","Real Madrid",3,"Malaga",2
"0026-11-17","La Coruna",2,"Ath Bilbao",2
"0026-11-17","Sociedad",2,"Las Palmas",2
"0026-11-17","Valencia",1,"Barcelona",1
"0026-11-17","Villarreal",2,"Sevilla",3
"0027-11-17","Espanol",1,"Getafe",0
"0001-12-17","Malaga",0,"Levante",0
"0002-12-17","Ath Bilbao",0,"Real Madrid",0
"0002-12-17","Ath Madrid",2,"Sociedad",1
"0002-12-17","Barcelona",2,"Celta",2
"0002-12-17","Sevilla",2,"La Coruna",0
"0003-12-17","Eibar",3,"Espanol",1
"0003-12-17","Getafe",1,"Valencia",0
"0003-12-17","Las Palmas",1,"Betis",0
"0003-12-17","Leganes",3,"Villarreal",1
"0004-12-17","Girona",2,"Alaves",3
"0008-12-17","Alaves",2,"Las Palmas",0
"0009-12-17","Getafe",0,"Eibar",0
"0009-12-17","La Coruna",1,"Leganes",0
"0009-12-17","Real Madrid",5,"Sevilla",0
"0009-12-17","Valencia",2,"Celta",1
"0010-12-17","Betis",0,"Ath Madrid",1
"0010-12-17","Levante",1,"Ath Bilbao",2
"0010-12-17","Sociedad",0,"Malaga",2
"0010-12-17","Villarreal",0,"Barcelona",2
"0011-12-17","Espanol",0,"Girona",1
"0015-12-17","Sevilla",0,"Levante",0
"0016-12-17","Ath Bilbao",0,"Sociedad",0
"0016-12-17","Ath Madrid",1,"Alaves",0
"0016-12-17","Eibar",2,"Valencia",1
"0017-12-17","Barcelona",4,"La Coruna",0
"0017-12-17","Celta",0,"Villarreal",1
"0017-12-17","Girona",1,"Getafe",0
"0017-12-17","Las Palmas",2,"Espanol",2
"0018-12-17","Malaga",0,"Betis",2
"0019-12-17","Levante",0,"Leganes",0
"0020-12-17","Getafe",2,"Las Palmas",0
"0020-12-17","Sociedad",3,"Sevilla",1
"0021-12-17","Alaves",1,"Malaga",0
"0021-12-17","Eibar",4,"Girona",1
